id,英文索引,显示名,族id,显示宽,显示高,精灵图,色值,商店显示宽,商店显示高,商店列表图,商店详情图,占格列,占格行
cactus_lamp_04,cactus_lamp_04,仙人掌灯·04,cactus_lamp,45,70,Assets/PC ui/Scene/furniture/cactus_lamp_04 1.png,#8A7C58,75,105,,,2,1
cactus_lamp_05,cactus_lamp_05,仙人掌灯·05,cactus_lamp,45,70,Assets/PC ui/Scene/furniture/cactus_lamp_05 1.png,#7C6C63,75,105,,,2,1
cactus_lamp_06,cactus_lamp_06,仙人掌灯·06,cactus_lamp,45,70,Assets/PC ui/Scene/furniture/cactus_lamp_06 1.png,#A1848B,75,105,,,2,1
cactus_lamp_07,cactus_lamp_07,仙人掌灯·07,cactus_lamp,45,70,Assets/PC ui/Scene/furniture/cactus_lamp_07 1.png,#627A64,75,105,,,2,1
cactus_lamp_08,cactus_lamp_08,仙人掌灯·08,cactus_lamp,45,70,Assets/PC ui/Scene/furniture/cactus_lamp_08 1.png,#4F6455,75,105,,,2,1
hanging_plant_01,hanging_plant_01,悬挂绿植·01,hanging_plant,70,105,Assets/PC ui/Scene/furniture/hanging_plant_01 1.png,#AFAE7C,95,140,,,6,9
hanging_plant_03,hanging_plant_03,悬挂绿植·03,hanging_plant,70,105,Assets/PC ui/Scene/furniture/hanging_plant_03 1.png,#98A187,95,140,,,6,9
hanging_plant_06,hanging_plant_06,悬挂绿植·06,hanging_plant,70,105,Assets/PC ui/Scene/furniture/hanging_plant_06 1.png,#93988E,95,140,,,6,9
hanging_plant_07,hanging_plant_07,悬挂绿植·07,hanging_plant,70,105,Assets/PC ui/Scene/furniture/hanging_plant_07 1.png,#A8A97E,95,140,,,6,9
hanging_plant_08,hanging_plant_08,悬挂绿植·08,hanging_plant,70,105,Assets/PC ui/Scene/furniture/hanging_plant_08 1.png,#C2BB88,95,140,,,6,9
hanging_plant_09,hanging_plant_09,悬挂绿植·09,hanging_plant,70,105,Assets/PC ui/Scene/furniture/hanging_plant_09 1.png,#BAB47F,95,140,,,6,9
hanging_plant_11,hanging_plant_11,悬挂绿植·11,hanging_plant,70,105,Assets/PC ui/Scene/furniture/hanging_plant_11 1.png,#B8A895,95,140,,,6,9
hanging_plant_12,hanging_plant_12,悬挂绿植·12,hanging_plant,70,105,Assets/PC ui/Scene/furniture/hanging_plant_12 1.png,#AFAD8B,95,140,,,6,9
hanging_plant_13,hanging_plant_13,悬挂绿植·13,hanging_plant,70,105,Assets/PC ui/Scene/furniture/hanging_plant_13 1.png,#AFB789,95,140,,,6,9
hanging_plant_14,hanging_plant_14,悬挂绿植·14,hanging_plant,70,105,Assets/PC ui/Scene/furniture/hanging_plant_14 1.png,#9CA57F,95,140,,,6,9
hanging_plant_15,hanging_plant_15,悬挂绿植·15,hanging_plant,70,105,Assets/PC ui/Scene/furniture/hanging_plant_15 1.png,#AAA191,95,140,,,6,9
hanging_plant_16,hanging_plant_16,悬挂绿植·16,hanging_plant,70,105,Assets/PC ui/Scene/furniture/hanging_plant_16 1.png,#9AA380,95,140,,,6,9
hanging_plant_17,hanging_plant_17,悬挂绿植·17,hanging_plant,70,105,Assets/PC ui/Scene/furniture/hanging_plant_17 1.png,#D3D09B,95,140,,,6,9
hanging_plant_18,hanging_plant_18,悬挂绿植·18,hanging_plant,70,105,Assets/PC ui/Scene/furniture/hanging_plant_18 1.png,#C9B0A5,95,140,,,6,9
hanging_plant_21,hanging_plant_21,悬挂绿植·21,hanging_plant,70,105,Assets/PC ui/Scene/furniture/hanging_plant_21 1.png,#A5AB7D,95,140,,,6,9
hanging_plant_22,hanging_plant_22,悬挂绿植·22,hanging_plant,70,105,Assets/PC ui/Scene/furniture/hanging_plant_22 1.png,#ADB496,95,140,,,6,9
hanging_plant_23,hanging_plant_23,悬挂绿植·23,hanging_plant,70,105,Assets/PC ui/Scene/furniture/hanging_plant_23 1.png,#D6D485,95,140,,,6,9
hanging_plant_24,hanging_plant_24,悬挂绿植·24,hanging_plant,70,105,Assets/PC ui/Scene/furniture/hanging_plant_24 1.png,#B5BEA3,95,140,,,6,9
hanging_plant_30,hanging_plant_30,悬挂绿植·30,hanging_plant,70,105,Assets/PC ui/Scene/furniture/hanging_plant_30 2.png,#B2AAAE,95,140,,,6,9
hanging_plant_31,hanging_plant_31,悬挂绿植·31,hanging_plant,70,105,Assets/PC ui/Scene/furniture/hanging_plant_31 1.png,#C3C567,95,140,,,6,9
hanging_plant_32,hanging_plant_32,悬挂绿植·32,hanging_plant,70,105,Assets/PC ui/Scene/furniture/hanging_plant_32 1.png,#90A69F,95,140,,,6,9
hanging_plant_36,hanging_plant_36,悬挂绿植·36,hanging_plant,70,105,Assets/PC ui/Scene/furniture/hanging_plant_36 1.png,#9CB1A9,95,140,,,6,9
landscape_poster_02,landscape_poster_02,风景海报·02,landscape_poster,72,105,Assets/PC ui/Scene/furniture/landscape_poster_02 1.png,#9E9F82,90,135,,,6,9
landscape_poster_03,landscape_poster_03,风景海报·03,landscape_poster,72,105,Assets/PC ui/Scene/furniture/landscape_poster_03 1.png,#CA9263,90,135,,,6,9
landscape_poster_04,landscape_poster_04,风景海报·04,landscape_poster,72,105,Assets/PC ui/Scene/furniture/landscape_poster_04 1.png,#776A84,90,135,,,6,9
landscape_poster_05,landscape_poster_05,风景海报·05,landscape_poster,72,105,Assets/PC ui/Scene/furniture/landscape_poster_05 1.png,#90A2AA,90,135,,,6,9
landscape_poster_06,landscape_poster_06,风景海报·06,landscape_poster,72,105,Assets/PC ui/Scene/furniture/landscape_poster_06 1.png,#D4A19D,90,135,,,6,9
landscape_poster_07,landscape_poster_07,风景海报·07,landscape_poster,72,105,Assets/PC ui/Scene/furniture/landscape_poster_07 1.png,#9C958D,90,135,,,6,9
landscape_poster_08,landscape_poster_08,风景海报·08,landscape_poster,72,105,Assets/PC ui/Scene/furniture/landscape_poster_08 1.png,#DBA759,90,135,,,6,9
landscape_poster_09,landscape_poster_09,风景海报·09,landscape_poster,72,105,Assets/PC ui/Scene/furniture/landscape_poster_09 1.png,#457273,90,135,,,6,9
lava_lamp_01,lava_lamp_01,熔岩灯·01,lava_lamp,30,65,Assets/PC ui/Scene/furniture/lava_lamp_01 1.png,#9D7485,65,125,Assets/PC ui 2.0/store/左侧家具图标/立式灯柱-1.png,Assets/PC ui 2.0/store/右侧家具图标/立式灯柱-1.png,2,1
lava_lamp_02,lava_lamp_02,熔岩灯·02,lava_lamp,30,65,Assets/PC ui/Scene/furniture/lava_lamp_02 1.png,#4589A0,65,125,Assets/PC ui 2.0/store/左侧家具图标/立式灯柱-2.png,Assets/PC ui 2.0/store/右侧家具图标/立式灯柱-2.png,2,1
lava_lamp_03,lava_lamp_03,熔岩灯·03,lava_lamp,30,65,Assets/PC ui/Scene/furniture/lava_lamp_03 1.png,#A47D46,65,125,Assets/PC ui 2.0/store/左侧家具图标/立式灯柱-3.png,Assets/PC ui 2.0/store/右侧家具图标/立式灯柱-3.png,2,1
lava_lamp_04,lava_lamp_04,熔岩灯·04,lava_lamp,30,65,Assets/PC ui/Scene/furniture/lava_lamp_04 1.png,#748E4D,65,125,Assets/PC ui 2.0/store/左侧家具图标/立式灯柱-4.png,Assets/PC ui 2.0/store/右侧家具图标/立式灯柱-4.png,2,1
lava_lamp_05,lava_lamp_05,熔岩灯·05,lava_lamp,30,65,Assets/PC ui/Scene/furniture/lava_lamp_05 1.png,#66559E,65,125,Assets/PC ui 2.0/store/左侧家具图标/立式灯柱-5.png,Assets/PC ui 2.0/store/右侧家具图标/立式灯柱-5.png,2,1
lava_lamp_06,lava_lamp_06,熔岩灯·06,lava_lamp,30,65,Assets/PC ui/Scene/furniture/lava_lamp_06 1.png,#944F5E,65,125,Assets/PC ui 2.0/store/左侧家具图标/立式灯柱-6.png,Assets/PC ui 2.0/store/右侧家具图标/立式灯柱-6.png,2,1
lava_lamp_07,lava_lamp_07,熔岩灯·07,lava_lamp,30,65,Assets/PC ui/Scene/furniture/lava_lamp_07 1.png,#A18547,65,125,Assets/PC ui 2.0/store/左侧家具图标/立式灯柱-7.png,Assets/PC ui 2.0/store/右侧家具图标/立式灯柱-7.png,2,1
lava_lamp_08,lava_lamp_08,熔岩灯·08,lava_lamp,30,65,Assets/PC ui/Scene/furniture/lava_lamp_08 1.png,#7898A9,65,125,Assets/PC ui 2.0/store/左侧家具图标/立式灯柱-8.png,Assets/PC ui 2.0/store/右侧家具图标/立式灯柱-8.png,2,1
monstera_01,monstera_01,龟背竹·01,monstera,115,190,Assets/PC ui/Scene/furniture/monstera_01 1.png,#A3A987,125,205,,,3,2
monstera_02,monstera_02,龟背竹·02,monstera,115,190,Assets/PC ui/Scene/furniture/monstera_02 1.png,#ACB093,125,205,,,3,2
monstera_03,monstera_03,龟背竹·03,monstera,115,190,Assets/PC ui/Scene/furniture/monstera_03 1.png,#6B8075,125,205,,,3,2
monstera_04,monstera_04,龟背竹·04,monstera,115,190,Assets/PC ui/Scene/furniture/monstera_04 1.png,#A6AC8C,125,205,,,3,2
monstera_05,monstera_05,龟背竹·05,monstera,115,190,Assets/PC ui/Scene/furniture/monstera_05 1.png,#CBC79C,125,205,,,3,2
monstera_06,monstera_06,龟背竹·06,monstera,115,190,Assets/PC ui/Scene/furniture/monstera_06 1.png,#A2AA93,125,205,,,3,2
monstera_08,monstera_08,龟背竹·08,monstera,115,190,Assets/PC ui/Scene/furniture/monstera_08 1.png,#9FA98D,125,205,,,3,2
orb_decoration_01,orb_decoration_01,球形摆件·01,orb_decoration,45,50,Assets/PC ui/Scene/furniture/orb_decoration_01 1.png,#8895A1,80,85,,,3,1
orb_decoration_02,orb_decoration_02,球形摆件·02,orb_decoration,45,50,Assets/PC ui/Scene/furniture/orb_decoration_02 1.png,#959C92,80,85,,,3,1
orb_decoration_03,orb_decoration_03,球形摆件·03,orb_decoration,45,50,Assets/PC ui/Scene/furniture/orb_decoration_03 1.png,#A2A598,80,85,,,3,1
orb_decoration_04,orb_decoration_04,球形摆件·04,orb_decoration,45,50,Assets/PC ui/Scene/furniture/orb_decoration_04 1.png,#9B9E91,80,85,,,3,1
orb_decoration_05,orb_decoration_05,球形摆件·05,orb_decoration,45,50,Assets/PC ui/Scene/furniture/orb_decoration_05 1.png,#B6A2A9,80,85,,,3,1
orb_decoration_06,orb_decoration_06,球形摆件·06,orb_decoration,45,50,Assets/PC ui/Scene/furniture/orb_decoration_06 1.png,#A2A6A7,80,85,,,3,1
orb_decoration_07,orb_decoration_07,球形摆件·07,orb_decoration,45,50,Assets/PC ui/Scene/furniture/orb_decoration_07 1.png,#A09F97,80,85,,,3,1
orb_decoration_08,orb_decoration_08,球形摆件·08,orb_decoration,45,50,Assets/PC ui/Scene/furniture/orb_decoration_08 1.png,#9AA095,80,85,,,3,1
orb_decoration_09,orb_decoration_09,球形摆件·09,orb_decoration,45,50,Assets/PC ui/Scene/furniture/orb_decoration_09 1.png,#99A09B,80,85,,,3,1
potted_plant_01,potted_plant_01,盆栽植物·01,potted_plant,55,115,Assets/PC ui/Scene/furniture/potted_plant_01 1.png,#AEAC7F,85,150,,,2,2
potted_plant_02,potted_plant_02,盆栽植物·02,potted_plant,55,115,Assets/PC ui/Scene/furniture/potted_plant_02 1.png,#CABE8B,85,150,,,2,2
potted_plant_03,potted_plant_03,盆栽植物·03,potted_plant,55,115,Assets/PC ui/Scene/furniture/potted_plant_03 1.png,#DBBF85,85,150,,,2,2
potted_plant_04,potted_plant_04,盆栽植物·04,potted_plant,55,115,Assets/PC ui/Scene/furniture/potted_plant_04 1.png,#879B91,85,150,,,2,2
potted_plant_06,potted_plant_06,盆栽植物·06,potted_plant,55,115,Assets/PC ui/Scene/furniture/potted_plant_06 1.png,#A1AA95,85,150,,,2,2
round_rug_01,round_rug_01,圆形地毯·01,round_rug,240,90,Assets/PC ui/Scene/furniture/round_rug_01 1.png,#92A8C3,230,90,,,16,8
round_rug_02,round_rug_02,圆形地毯·02,round_rug,240,90,Assets/PC ui/Scene/furniture/round_rug_02 1.png,#9CBAAA,230,90,,,16,8
round_rug_03,round_rug_03,圆形地毯·03,round_rug,240,90,Assets/PC ui/Scene/furniture/round_rug_03 1.png,#A9BDB2,230,90,,,16,8
round_rug_04,round_rug_04,圆形地毯·04,round_rug,240,90,Assets/PC ui/Scene/furniture/round_rug_04 1.png,#DCA88F,230,90,,,16,8
round_rug_05,round_rug_05,圆形地毯·05,round_rug,240,90,Assets/PC ui/Scene/furniture/round_rug_05 1.png,#718EAF,230,90,,,16,8
round_rug_06,round_rug_06,圆形地毯·06,round_rug,240,90,Assets/PC ui/Scene/furniture/round_rug_06 1.png,#EAD29D,230,90,,,16,8
round_rug_07,round_rug_07,圆形地毯·07,round_rug,240,90,Assets/PC ui/Scene/furniture/round_rug_07 1.png,#C5D8E7,230,90,,,16,8
round_rug_08,round_rug_08,圆形地毯·08,round_rug,240,90,Assets/PC ui/Scene/furniture/round_rug_08 1.png,#E7C994,230,90,,,16,8
round_rug_09,round_rug_09,圆形地毯·09,round_rug,240,90,Assets/PC ui/Scene/furniture/round_rug_09 1.png,#EDD6C3,230,90,,,16,8
round_rug_10,round_rug_10,圆形地毯·10,round_rug,240,90,Assets/PC ui/Scene/furniture/round_rug_10 1.png,#BDD1E1,230,90,,,16,8
vintage_square_clock_02,vintage_square_clock_02,复古方钟·02,vintage_square_clock,70,70,Assets/PC ui/Scene/furniture/vintage_square_clock_02 1.png,#454332,95,95,,,6,6
vintage_square_clock_03,vintage_square_clock_03,复古方钟·03,vintage_square_clock,70,70,Assets/PC ui/Scene/furniture/vintage_square_clock_03 1.png,#3E403B,95,95,,,6,6
vintage_square_clock_04,vintage_square_clock_04,复古方钟·04,vintage_square_clock,70,70,Assets/PC ui/Scene/furniture/vintage_square_clock_04 1.png,#3D3429,95,95,,,6,6
vintage_square_clock_05,vintage_square_clock_05,复古方钟·05,vintage_square_clock,70,70,Assets/PC ui/Scene/furniture/vintage_square_clock_05 1.png,#B9A17F,95,95,,,6,6
vintage_square_clock_06,vintage_square_clock_06,复古方钟·06,vintage_square_clock,70,70,Assets/PC ui/Scene/furniture/vintage_square_clock_06 1.png,#593F2A,95,95,,,6,6
vintage_square_clock_07,vintage_square_clock_07,复古方钟·07,vintage_square_clock,70,70,Assets/PC ui/Scene/furniture/vintage_square_clock_07 1.png,#3C3B2E,95,95,,,6,6
vintage_square_clock_08,vintage_square_clock_08,复古方钟·08,vintage_square_clock,70,70,Assets/PC ui/Scene/furniture/vintage_square_clock_08 1.png,#623E34,95,95,,,6,6
vintage_square_clock_10,vintage_square_clock_10,复古方钟·10,vintage_square_clock,70,70,Assets/PC ui/Scene/furniture/vintage_square_clock_10 1.png,#7F5A36,95,95,,,6,6
vintage_square_clock_11,vintage_square_clock_11,复古方钟·11,vintage_square_clock,70,70,Assets/PC ui/Scene/furniture/vintage_square_clock_11 1.png,#595A4E,95,95,,,6,6
bed_side_01,bed_01,单人床·01,bed_side,220,145,Assets/PC ui/Scene/furniture/bed_01.png,#DECDAF,220,145,,,15,8
bed_side_02,bed_02,单人床·02,bed_side,220,145,Assets/PC ui/Scene/furniture/bed_02.png,#D6CAB4,220,145,,,15,8
bed_side_03,bed_03,单人床·03,bed_side,220,145,Assets/PC ui/Scene/furniture/bed_03.png,#D3BB96,220,145,,,15,8
bed_side_04,bed_04,单人床·04,bed_side,220,145,Assets/PC ui/Scene/furniture/bed_04.png,#BFA57C,220,145,,,15,8
bed_side_05,bed_05,单人床·05,bed_side,220,145,Assets/PC ui/Scene/furniture/bed_05.png,#AFBDC7,220,145,,,15,8
bed_front_01,bed_06,床头床·01,bed_front,320,300,Assets/PC ui/Scene/furniture/bed_06.png,#E3D5CA,170,155,,,11,8
bed_front_02,bed_07,床头床·02,bed_front,320,300,Assets/PC ui/Scene/furniture/bed_07.png,#BFAB8C,170,155,,,11,8
bed_front_03,bed_08,床头床·03,bed_front,320,300,Assets/PC ui/Scene/furniture/bed_08.png,#BCBBB8,170,155,,,11,8
bed_front_04,bed_09,床头床·04,bed_front,320,300,Assets/PC ui/Scene/furniture/bed_09.png,#B7B2AC,170,155,,,11,8
bed_front_05,bed_10,床头床·05,bed_front,320,300,Assets/PC ui/Scene/furniture/bed_10.png,#E9A089,170,155,,,11,8
bed_front_06,bed_11,床头床·06,bed_front,320,300,Assets/PC ui/Scene/furniture/bed_11.png,#C8D1D9,170,155,,,11,8
vanity_01,vanity_01,彩色梳妆台·01,vanity,160,175,Assets/PC ui 2.0/特殊家具/彩色简约风化妆台-3 1.png,#DBBF9E,175,185,,,11,4
retro_radio_01,retro_radio_01,复古收音机·01,retro_radio,55,40,Assets/PC ui 2.0/特殊家具/复古风彩色收音机-1 1.png,#8DA092,100,75,,,4,1
music_player_01,music_player_01,音乐播放器·01,music_player,155,110,Assets/PC ui 2.0/特殊家具/复古风格音乐播放器家具-1 1.png,#BA9A8D,180,125,,,10,4
piano_01,piano_01,奶油钢琴·01,piano,220,170,Assets/PC ui 2.0/特殊家具/奶油色系手绘风钢琴-1 1.png,#858B98,220,170,,,12,6
flashlight_01,flashlight_01,手电筒·01,flashlight,45,24,Assets/PC ui 2.0/特殊家具/手绘风格手电筒-1 1.png,#80A6BA,110,60,,,3,1
iron_01,iron_01,复古熨斗·01,iron,45,32,Assets/PC ui 2.0/特殊家具/清新简约风熨斗设计-3 1.png,#B2CADB,100,75,,,2,1
telescope_01,telescope_01,复古望远镜·01,telescope,65,70,Assets/PC ui 2.0/特殊家具/清新配色风格望远镜-2 1.png,#BEA486,95,120,,,3,1
colorful_cabinet_01,colorful_cabinet_01,彩色柜子·01,colorful_cabinet,195,105,Assets/PC ui 2.0/特殊家具/简约风格彩色柜子-1 1.png,#D0C8AC,210,115,,,13,4
floor_lamp_01,floor_lamp_01,艺术落地灯·01,floor_lamp,85,205,Assets/PC ui 2.0/特殊家具/简约风格艺术落地灯-2 1.png,#B18F5F,90,215,,,4,2
chalkboard_01,chalkboard_01,复古黑板·01,chalkboard,180,125,Assets/PC ui 2.0/特殊家具/简约风格黑板设计-1 1.png,#C4905C,195,135,,,12,3
macaron_sofa_01,macaron_sofa_01,马卡龙沙发·01,macaron_sofa,230,100,Assets/PC ui 2.0/特殊家具/马卡龙色系布艺沙发-2 1.png,#BDCECE,230,100,,,15,5
metronome_01,metronome_01,节拍器·01,metronome,40,55,Assets/PC ui 2.0/特殊家具/马卡龙色系极简节拍器-2 1.png,#89A1B6,70,100,,,3,1
cabinet_01,cabinet_01,立柜·01,cabinet,140,180,Assets/PC ui/Scene/furniture/cabinet_01.png,#DBC4A0,150,190,Assets/PC ui 2.0/store/左侧家具图标/Frame 114.png,Assets/PC ui 2.0/store/右侧家具图标/Frame 104.png,10,4
cabinet_02,cabinet_02,立柜·02,cabinet,145,180,Assets/PC ui/Scene/furniture/cabinet_02.png,#E8B2A6,155,190,Assets/PC ui 2.0/store/左侧家具图标/Frame 115.png,Assets/PC ui 2.0/store/右侧家具图标/Frame 105.png,10,4
cabinet_03,cabinet_03,立柜·03,cabinet,180,180,Assets/PC ui/Scene/furniture/cabinet_03.png,#959E78,190,190,Assets/PC ui 2.0/store/左侧家具图标/Frame 113.png,Assets/PC ui 2.0/store/右侧家具图标/Frame 103.png,12,4
