对话组ID,说话人,立绘ID,步骤,选项,句序,类型,文本,条件,备注
10101,player,goat_平静,4,3,1,Line,您稍等下，我帮您找找合适的房间。,,
10101,visitor,leopard_平静,4,3,2,Line,嗯呢！我等你！,,
,,,,,,,,,
20101,visitor,leopard_平静,1,,,Line,找到合适的房间了喵？,,
,,,,,,,,,
20101,,,2,1,,Branch,接待,CanAcceptGuest,
20101,player,goat_平静,2,1,1,Line,已经帮您安排好了，这是房卡咩。,,
20101,visitor,leopard_平静,2,1,2,Line,嗯嗯，那我先去放行李啦~,,
20101,,,2,1,3,Action,Accept,,
,,,,,,,,,
20101,,,2,2,,Branch,暂不接待,,
20101,visitor,leopard_平静,2,2,1,Line,抱歉啊，没有找到合适的房间。,,
20101,visitor,leopard_平静,2,2,2,Line,那，那好吧，那我只能去其他地方看看了，55555……,,
20101,,,2,2,3,Action,Reject,,
,,,,,,,,,
20101,,,2,3,,Branch,（再想一会）,,
20101,player,goat_平静,2,3,1,Line,还在找，辛苦再等待下。,,
20101,visitor,leopard_平静,2,3,2,Line,嗯嗯，我等你，但是如果要等很久的话我会很难过的……,,
,,,,,,,,,
,,,,,,,,,
30101,visitor,leopard_平静,1,,,Line,{需求},,
,,,,,,,,,
30101,player,goat_平静,2,1,,Branch,同意,,
30101,player,goat_平静,2,1,1,Line,好的，我去找找咩，安排好了跟您说~,,
30101,visitor,leopard_平静,2,1,2,Line,嗯嗯，我等你！,,
30101,,,2,1,3,Action,Accept,,
,,,,,,,,,
30101,player,goat_平静,2,2,,Branch,暂不同意,,
30101,player,goat_平静,2,2,1,Line,不好意思咩，现在有些忙碌，暂时没有办法满足您的需求咩。,,
30101,,,2,2,2,Action,Reject,,
,,,,,,,,,
30101,player,goat_平静,2,3,,Branch,已完成,RoomHasNeedFurniture,
30101,player,goat_开心,2,3,1,Line,已经按照你的要求布置好房间啦~,,
30101,visitor,leopard_开心,2,3,2,Line,哇！是我想要的布置喵！！！,,
30101,narration,,2,3,3,Line,完成服务需求奖励【货币+300，声望+10】,,
30101,,,2,3,4,Action,CompleteNeed(perfect),,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
30102,visitor,leopard_平静,1,,,Line,{需求},,
,,,,,,,,,
30102,player,goat_平静,2,1,,Branch,同意,,
30102,player,goat_平静,2,1,1,Line,好的，我去看看咩。,,
30102,player,goat_平静,2,1,2,Action,StartMinigame,,
,,,,,,,,,
30102,player,goat_平静,2,2,,Branch,暂不同意,,
30102,player,goat_平静,2,2,1,Line,不好意思咩，现在有些忙碌，暂时没有办法满足您的需求咩。,,
30102,player,goat_平静,2,2,2,Action,Reject,,
,,,,,,,,,
40101,visitor,leopard_伤心,1,,,Line,算了……可能是我要求太多了。,,
,,,,,,,,,
40102,visitor,leopard_平静,1,,,Line,嗯，还行吧，比之前好多了,,
,,,,,,,,,
40103,visitor,leopard_平静,1,,,Line,挺好的，比我原本想的还妥帖些。,,
,,,,,,,,,
40104,visitor,leopard_开心,1,,,Line,太完美了，我会记住这地方的。,,
,,,,,,,,,
50101,visitor,leopard_开心,1,,,Line,这里还不错嘛，感觉能好好歇一会儿。,,
,,,,,,,,,
50102,visitor,leopard_开心,1,,,Line,我刚刚是不是跑太快了？算了，问题不大。,,
,,,,,,,,,
50103,visitor,leopard_开心,1,,,Line,这里真好，之后备赛还来这里。,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
10201,visitor,cheetah_平静,1,,,Line,您好，我是棒球队队长——豹酷酷。,,
10201,visitor,cheetah_平静,2,,,Line,明天我们棒球队在旁边体育场有比赛，辛苦您帮我查下今晚是否还有空房间？,,
10201,player,goat_平静,3,,,Line,好的，队长，欢迎来到Master House~,,
10201,player,goat_平静,4,,,Line,查找中……,,
,,,,,,,,,
10201,player,goat_平静,5,1,,Branch,接待,CanAcceptGuest,
10201,visitor,cheetah_平静,5,1,1,Line,听说豹冲冲也在这里入住，请把我的房间安排在离他远点的地方。,,
10201,player,goat_平静,5,1,2,Line,好的，我尽量满足您的要求，这是您的房卡咩。,,
10201,visitor,cheetah_平静,5,1,3,Line,谢谢您！,,
10201,visitor,cheetah_平静,5,1,4,Action,Accept,,
,,,,,,,,,
10201,player,goat_平静,5,2,,Branch,暂不接待,,
10201,player,goat_伤心,5,2,1,Line,非常抱歉，目前没有能够满足您要求的房间咩。,,
10201,visitor,cheetah_伤心,5,2,2,Line,没关系，我再去其他地方看看。,,
10201,visitor,cheetah_平静,5,2,3,Action,Reject,,
,,,,,,,,,
10201,player,goat_平静,5,3,,Branch,（先想一下）,,
10201,player,goat_平静,5,3,1,Line,您稍等，我再帮您确认一下房间。,,
10201,visitor,cheetah_平静,5,3,2,Line,谢谢您，麻烦了。,,
,,,,,,,,,
20201,visitor,cheetah_平静,1,,,Line,找到合适的房间了喵？,,
,,,,,,,,,
20201,,,2,1,,Branch,接待,CanAcceptGuest,
20201,player,goat_平静,2,1,1,Line,已经帮您安排好了，这是房卡咩。,,
20201,visitor,cheetah_平静,2,1,2,Line,好的，谢谢。我现在过去确认一下。,,
20201,,,2,1,3,Action,Accept,,
20201,,,2,2,,Branch,暂不接待,,
20201,visitor,cheetah_平静,2,2,1,Line,抱歉啊，还是没有找到合适的房间。,,
20201,visitor,cheetah_平静,2,2,2,Line,明白了，那我今天只能换个地方休息了。,,
20201,,,2,2,3,Action,Reject,,
20201,,,2,3,,Branch,（再想一会）,,
20201,player,goat_平静,2,3,1,Line,还在找，辛苦再等待下。,,
20201,visitor,cheetah_平静,2,3,2,Line,好的，不着急。我再等您一会儿。,,
,,,,,,,,,
,,,,,,,,,
30201,visitor,cheetah_平静,1,,,Line,我带了训练服和奖杯，需要有衣柜和展示架。,,
,,,,,,,,,
30201,player,goat_平静,2,1,,Branch,同意,,
30201,player,goat_平静,2,1,1,Line,好的，我去找找咩，安排好了跟您说~,,
30201,visitor,cheetah_平静,2,1,2,Line,好的，我等你。,,
30201,,,2,1,3,Action,Accept,,
,,,,,,,,,
30201,player,goat_平静,2,2,,Branch,暂不同意,,
30201,player,goat_平静,2,2,1,Line,不好意思咩，现在有些忙碌，暂时没有办法满足您的需求咩。,,
30201,,,2,2,2,Action,Reject,,
,,,,,,,,,
30201,player,goat_平静,2,3,,Branch,已完成,RoomHasNeedFurniture,
30201,player,goat_开心,2,3,1,Line,已经按照你的要求布置好房间啦~,,
30201,visitor,cheetah_开心,2,3,2,Line,看起来还不错，是我需要的，谢谢你。,,
30201,narration,,2,3,3,Line,完成服务需求奖励【货币+300，声望+10】,,
30201,,,2,3,4,Action,CompleteNeed(perfect),,
,,,,,,,,,
,,,,,,,,,
30202,visitor,cheetah_平静,1,,,Line,{需求},,
,,,,,,,,,
30202,player,goat_平静,2,1,,Branch,同意,,
30202,player,goat_平静,2,1,1,Line,好的，我去看看咩。,,
30202,visitor,goat_平静,2,1,2,Action,StartMinigame,,
,,,,,,,,,
30202,player,goat_平静,2,2,,Branch,暂不同意,,
30202,player,goat_平静,2,2,1,Line,不好意思咩，现在有些忙碌，暂时没有办法满足您的需求咩。,,
30202,visitor,goat_平静,2,2,2,Action,Reject,,
,,,,,,,,,
,,,,,,,,,
30203,visitor,cheetah_平静,1,,,Line,{需求},,
,,,,,,,,,
30203,player,goat_平静,2,1,,Branch,同意,,
30203,player,goat_平静,2,1,1,Line,好的，我去看看咩。,,
30203,player,goat_平静,2,1,2,Action,StartMinigame,,
,,,,,,,,,
30203,player,goat_平静,2,2,,Branch,暂不同意,,
30203,player,goat_平静,2,2,1,Line,不好意思咩，现在有些忙碌，暂时没有办法满足您的需求咩。,,
30203,player,goat_平静,2,2,2,Action,Reject,,
,,,,,,,,,
,,,,,,,,,
40201,visitor,cheetah_伤心,1,,,Line,没关系，可能今天确实比较忙。辛苦您了。,,
,,,,,,,,,
40202,visitor,cheetah_平静,1,,,Line,谢谢您愿意帮忙。,,
,,,,,,,,,
40203,visitor,cheetah_平静,1,,,Line,挺好的，比我原本想的还妥帖些。,,
,,,,,,,,,
40204,visitor,cheetah_开心,1,,,Line,非常好，我喜欢这里的。,,
,,,,,,,,,
50201,visitor,cheetah_开心,1,,,Line,这里比我想象中安静，很适合休息。,,
,,,,,,,,,
50202,visitor,cheetah_开心,1,,,Line,棒球比赛前，休息质量也很重要。,,
,,,,,,,,,
50203,visitor,cheetah_开心,1,,,Line,下次备赛，我会来这里。,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
10301,visitor,yak_平静,1,,,Line,您好，我叫牛莱，是一名钢琴老师。,,
10301,player,goat_平静,2,,,Line,牛莱老师，欢迎您来到Master House哇！,,
10301,visitor,yak_平静,3,,,Line,现在还有房间吗？,,
,,,,,,,,,
10301,player,goat_平静,4,1,,Branch,接待,CanAcceptGuest,
10301,visitor,yak_平静,4,1,1,Line,我可能要在房间里练练琴，需要一间隔音比较好的房间。,,
10301,player,goat_平静,4,1,2,Line,明白，我们这里都是实体墙，隔音很棒咩。,,
10301,visitor,yak_平静,4,1,3,Line,那就好，我担心影响到其他客人。,,
10301,visitor,yak_平静,4,1,4,Line,另外，我不太喜欢有人说“对牛弹琴”这个词。,,
10301,player,goat_平静,4,1,5,Line,好咩，我立马把这个词从Master House的空气里清理掉！,,
10301,visitor,yak_平静,4,1,6,Line,很好。你很有教养。,,
10301,visitor,yak_平静,4,1,7,Action,Accept,,
,,,,,,,,,
10301,player,goat_平静,4,2,,Branch,暂不接待,,
10301,player,goat_伤心,4,2,1,Line,非常抱歉咩，目前没有能够满足您要求的房间。,,
10301,visitor,yak_伤心,4,2,2,Line,没关系，那我先走了哞。,,
10301,visitor,yak_平静,4,2,3,Action,Reject,,
,,,,,,,,,
10301,player,goat_平静,4,3,,Branch,（先想一下）,,
10301,player,goat_平静,4,3,1,Line,您稍等下，我帮您找找合适的房间。,,
10301,visitor,yak_平静,4,3,2,Line,好的，我正好再看一遍谱子。,,
,,,,,,,,,
20301,visitor,yak_平静,1,,,Line,房间安排好了哞？,,
,,,,,,,,,
20301,,,2,1,,Branch,接待,CanAcceptGuest,
20301,player,goat_平静,2,1,1,Line,已经帮您安排好了，这是房卡咩。,,
20301,visitor,yak_平静,2,1,2,Line,谢谢。希望今晚能有一个安静的休止音符。,,
20301,,,2,1,3,Action,Accept,,
20301,,,2,2,,Branch,暂不接待,,
20301,player,goat_伤心,2,2,1,Line,抱歉啊，没有找到合适的房间。,,
20301,visitor,yak_平静,2,2,2,Line,没关系，曲谱有起承转合，我想，找到一个合适的房间也是这样。,,
20301,,,2,2,3,Action,Reject,,
20301,,,2,3,,Branch,（再想一会）,,
20301,player,goat_平静,2,3,1,Line,还在找，辛苦再等待下。,,
20301,visitor,yak_平静,2,3,2,Line,嗯嗯，我等你，但是如果要等很久的话我会很难过的……,,
,,,,,,,,,
,,,,,,,,,
30301,visitor,yak_平静,1,,,Line,可以帮我准备一个谱架吗？曲子还需要修改，放在桌上看不太方便。,,
,,,,,,,,,
,,,,,,,,,
30301,player,goat_平静,2,1,,Branch,同意,,
30301,player,goat_平静,2,1,1,Line,好的，我去找找咩，安排好了跟您说~,,
30301,visitor,yak_平静,2,1,2,Line,好的，我等你。,,
30301,,,2,1,3,Action,Accept,,
,,,,,,,,,
30301,player,goat_平静,2,2,,Branch,暂不同意,,
30301,player,goat_平静,2,2,1,Line,不好意思咩，现在有些忙碌，暂时没有办法满足您的需求咩。,,
30301,visitor,yak_平静,2,2,2,Line,好吧，那我先把曲子背下来。,,
30301,,,2,2,3,Action,Reject,,
,,,,,,,,,
30301,player,goat_平静,2,3,,Branch,已完成,RoomHasNeedFurniture,
30301,player,goat_开心,2,3,1,Line,已经按照你的要求布置好房间啦~,,
30301,visitor,yak_开心,2,3,2,Line,很好，高度正合适。你的服务很贴心哞。,,
30301,narration,,2,3,3,Line,完成服务需求奖励【货币+300，声望+10】,,
30301,,,2,3,4,Action,CompleteNeed(perfect),,
,,,,,,,,,
,,,,,,,,,
30302,visitor,yak_平静,1,,,Line,突然有学生约了课，请问有钢琴可以借用吗？,,
,,,,,,,,,
30302,player,goat_平静,2,1,,Branch,同意,,
30302,player,goat_平静,2,1,1,Line,仓库里有一架我奶奶留下的电子琴，但是电路老化了需要修理下。,,
30302,visitor,yak_平静,2,1,2,Line,没关系，已经帮到我大忙了，我会耐心等待的。,,
30302,player,goat_平静,2,1,3,Action,StartMinigame,,
,,,,,,,,,
30302,player,goat_平静,2,2,,Branch,暂不同意,,
30302,player,goat_平静,2,2,1,Line,不好意思咩，现在有些忙碌，暂时没有办法满足您的需求咩。,,
30302,player,goat_平静,2,2,2,Action,Reject,,
,,,,,,,,,
,,,,,,,,,
30303,visitor,yak_平静,1,,,Line,请问有咖啡吗？想喝现磨的哞。,,
,,,,,,,,,
30303,player,goat_平静,2,1,,Branch,同意,,
30303,player,goat_平静,2,1,1,Line,好的，我去看看咩。,,
30303,player,goat_平静,2,1,2,Action,StartMinigame,,
,,,,,,,,,
30303,player,goat_平静,2,2,,Branch,暂不同意,,
30303,player,goat_平静,2,2,1,Line,不好意思咩，现在有些忙碌，暂时没有办法满足您的需求咩。,,
30303,player,goat_平静,2,2,2,Action,Reject,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
40301,visitor,yak_伤心,1,,,Line,算了……可能今天你确实太忙了。,,
,,,,,,,,,
40302,visitor,yak_平静,1,,,Line,嗯，还可以，谢谢你。,,
,,,,,,,,,
40303,visitor,yak_平静,1,,,Line,挺好的，比我原本想的还妥帖些。,,
,,,,,,,,,
40304,visitor,yak_开心,1,,,Line,太完美了，我会记住这地方的。,,
,,,,,,,,,
50301,visitor,yak_开心,1,,,Line,这里很安静，适合把谱子再看一遍。,,
,,,,,,,,,
50302,visitor,yak_开心,1,,,Line,难得能这么安静地待一会儿。,,
,,,,,,,,,
50303,visitor,yak_开心,1,,,Line,下次休假，我也许还会来。,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
10401,visitor,rabbit_平静,1,,,Line,老板，我在小众点评上看到了这家高分民宿，请问还有房间嘛？,,
10401,player,goat_平静,2,,,Line,哇，您是idol兔米露吗，我超级喜欢你！,,
10401,visitor,rabbit_平静,3,,,Line,嗯，我是。不过，可以小点声嘛~,,
10401,player,goat_平静,4,,,Line,嗯嗯好的，我现在就查看房间！（小声）,,
,,,,,,,,,
10401,player,goat_平静,5,1,,Branch,接待,CanAcceptGuest,
10401,visitor,rabbit_平静,5,1,1,Line,我想要一间私密性比较好的房间，可以嘛？,,
10401,player,goat_平静,5,1,2,Line,嗯嗯，我会尽量安排！这是您的房卡~,,
10401,visitor,rabbit_平静,5,1,3,Line,感谢你，我先去休息啦。,,
10401,visitor,rabbit_平静,5,1,4,Action,Accept,,
,,,,,,,,,
10401,player,goat_平静,5,2,,Branch,暂不接待,,
10401,player,goat_伤心,5,2,1,Line,非常抱歉咩，目前没有能够满足您要求的房间咩。,,
10401,visitor,rabbit_伤心,5,2,2,Line,啊……没关系啦，我再去其他地方看看。,,
10401,visitor,rabbit_平静,5,2,3,Action,Reject,,
,,,,,,,,,
10401,player,goat_平静,5,3,,Branch,（先想一下）,,
10401,player,goat_平静,5,3,1,Line,您稍等下，我还在找合适的房间。,,
10401,visitor,rabbit_平静,5,3,2,Line,好呀，我正好补一下妆。,,
,,,,,,,,,
20401,visitor,rabbit_平静,1,,,Line,找到合适的房间了嘛？,,
,,,,,,,,,
20401,,,2,1,,Branch,接待,CanAcceptGuest,
20401,player,goat_平静,2,1,1,Line,已经帮您安排好了，这是房卡咩。,,
20401,visitor,rabbit_平静,2,1,2,Line,嗯嗯，那我先去放行李啦~,,
20401,,,2,1,3,Action,Accept,,
20401,,,2,2,,Branch,暂不接待,,
20401,visitor,rabbit_平静,2,2,1,Line,抱歉啊，没有找到合适的房间。,,
20401,visitor,rabbit_平静,2,2,2,Line,啊……没关系啦，我再去其他地方看看。,,
20401,,,2,2,3,Action,Reject,,
20401,,,2,3,,Branch,（再想一会）,,
20401,player,goat_平静,2,3,1,Line,还在找，辛苦再等待下。,,
20401,visitor,rabbit_平静,2,3,2,Line,嗯嗯，我等你，希望不要等太久，我等会还有粉丝见面会要参加。,,
,,,,,,,,,
,,,,,,,,,
30401,visitor,rabbit_平静,1,,,Line,老板，请问房间可以提供化妆镜嘛？,,
,,,,,,,,,
30401,player,goat_平静,2,1,,Branch,同意,,
30401,player,goat_平静,2,1,1,Line,好的，我去找找咩，安排好了跟您说~,,
30401,visitor,rabbit_平静,2,1,2,Line,嗯呐，我等你。,,
30401,,,2,1,3,Action,Accept,,
,,,,,,,,,
30401,player,goat_平静,2,2,,Branch,暂不同意,,
30401,player,goat_平静,2,2,1,Line,不好意思咩，现在有些忙碌，暂时没有办法满足您的需求咩。,,
30401,,,2,2,2,Action,Reject,,
,,,,,,,,,
30401,player,goat_平静,2,3,,Branch,已完成,RoomHasNeedFurniture,
30401,player,goat_开心,2,3,1,Line,已经按照你的要求布置好房间啦~,,
30401,visitor,rabbit_开心,2,3,2,Line,谢谢老板，是我喜欢的样子呢，您真的很贴心（饭撒）~,,
30401,narration,,2,3,3,Line,完成服务需求奖励【货币+300，声望+10】,,
30401,,,2,3,4,Action,CompleteNeed(perfect),,
,,,,,,,,,
,,,,,,,,,
30402,visitor,rabbit_平静,1,,,Line,房间的唱片机好像断触了，可以帮忙修理一下嘛？,,
,,,,,,,,,
30402,player,goat_平静,2,1,,Branch,同意,,
30402,player,goat_平静,2,1,1,Line,好的，我去看看咩。,,
30402,player,goat_平静,2,1,2,Action,StartMinigame,,
,,,,,,,,,
30402,player,goat_平静,2,2,,Branch,暂不同意,,
30402,player,goat_平静,2,2,1,Line,不好意思咩，现在有些忙碌，暂时没有办法满足偶像您的需求咩。,,
30402,player,goat_平静,2,2,2,Action,Reject,,
,,,,,,,,,
30403,visitor,rabbit_平静,1,,,Line,路演完好累啊，请问这里提供咖啡嘛？,,
,,,,,,,,,
30403,player,goat_平静,2,1,,Branch,同意,,
30403,player,goat_平静,2,1,1,Line,好咩，我去为偶像制作咩~,,
30403,player,goat_平静,2,1,2,Action,StartMinigame,,
,,,,,,,,,
30403,player,goat_平静,2,2,,Branch,暂不同意,,
30403,player,goat_平静,2,2,1,Line,不好意思咩，现在有些忙碌，暂时没有办法满足偶像您的需求咩。,,
30403,player,goat_平静,2,2,2,Action,Reject,,
,,,,,,,,,
,,,,,,,,,
40401,visitor,rabbit_伤心,1,,,Line,没关系啦，你已经很努力了。,,
,,,,,,,,,
40402,visitor,rabbit_平静,1,,,Line,嗯，其实还可以，谢谢你。,,
,,,,,,,,,
40403,visitor,rabbit_平静,1,,,Line,挺好的，比我原本想的还妥帖些。,,
,,,,,,,,,
40404,visitor,rabbit_开心,1,,,Line,太完美了，我会记住这里的。,,
,,,,,,,,,
50401,visitor,rabbit_开心,1,,,Line,这里真不错呀，感觉可以好好充电。,,
,,,,,,,,,
50402,visitor,rabbit_开心,1,,,Line,难得能这么安静地待一会儿。,,
,,,,,,,,,
50403,visitor,rabbit_开心,1,,,Line,下次路过，我还会来的。,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
10501,visitor,wolf_平静,1,,,Line,你好，我是总裁——嘉嚎。你是，这儿的老板？,,
10501,player,goat_平静,2,,,Line,是的，总裁，欢迎来到Master House~,,
10501,visitor,wolf_平静,3,,,Line,这里，比我想象中……还要朴素呢。今天还有空房间吗？,,
10501,player,goat_平静,4,,,Line,好的，稍等我来找找咩。,,
,,,,,,,,,
,,,,,,,,,
10501,player,goat_平静,5,1,,Branch,接待,CanAcceptGuest,
10501,visitor,wolf_平静,5,1,1,Line,帮我安排一个高级总裁套房吧。,,
10501,player,goat_平静,5,1,2,Line,啊……这，目前还不提供这种房型呢，普通房间可以吗？,,
10501,visitor,wolf_平静,5,1,3,Line,行吧，我勉强试试看。,,
10501,visitor,wolf_平静,5,1,4,Action,Accept,,
,,,,,,,,,
10501,player,goat_平静,5,2,,Branch,暂不接待,,
10501,player,goat_伤心,5,2,1,Line,非常抱歉咩，目前没有合适房间咩。,,
10501,visitor,wolf_伤心,5,2,2,Line,好吧，不过你们酒店的接待能力也该提升下了。,,
10501,visitor,wolf_平静,5,2,3,Action,Reject,,
,,,,,,,,,
10501,player,goat_平静,5,3,,Branch,（先想一下）,,
10501,player,goat_平静,5,3,1,Line,您稍等下，我帮您找找合适的房间。,,
10501,visitor,wolf_平静,5,3,2,Line,请快点，我的时间很宝贵。,,
,,,,,,,,,
20501,visitor,wolf_平静,1,,,Line,找到了吗，小羊老板？,,
,,,,,,,,,
20501,,,2,1,,Branch,接待,CanAcceptGuest,
20501,player,goat_平静,2,1,1,Line,已经帮您安排好了，这是房卡咩。,,
20501,visitor,wolf_平静,2,1,2,Line,谢谢，帮我把行李提上去吧。,,
20501,,,2,1,3,Action,Accept,,
,,,,,,,,,
20501,,,2,2,,Branch,暂不接待,,
20501,player,goat_平静,2,2,1,Line,非常抱歉咩，目前没有合适房间咩。,,
20501,visitor,wolf_平静,2,2,2,Line,好吧，不过你们酒店的接待能力也该提升下了。,,
20501,,,2,2,3,Action,Reject,,
,,,,,,,,,
20501,,,2,3,,Branch,（再想一会）,,
20501,player,goat_平静,2,3,1,Line,还在找，辛苦再等待下咩。,,
20501,visitor,wolf_平静,2,3,2,Line,可以，但不要让我等太久。我的时间很宝贵。,,
,,,,,,,,,
,,,,,,,,,
30501,visitor,wolf_平静,1,,,Line,呜，这床好硬，帮我换一张高级席梦思床吧。,,
,,,,,,,,,
30501,player,goat_平静,2,1,,Branch,同意,,
30501,player,goat_平静,2,1,1,Line,好的，我去找找咩，安排好了跟您说~,,
30501,visitor,wolf_平静,2,1,2,Line,可以，但不要让我等太久。我的时间很宝贵。,,
30501,,,2,1,3,Action,Accept,,
,,,,,,,,,
30501,player,goat_平静,2,2,,Branch,暂不同意,,
30501,player,goat_平静,2,2,1,Line,不好意思咩，现在有些忙碌，暂时没有办法满足您的需求咩。,,
30501,,,2,2,2,Action,Reject,,
,,,,,,,,,
30501,player,goat_平静,2,3,,Branch,已完成,RoomHasNeedFurniture,
30501,player,goat_开心,2,3,1,Line,已经按照你的要求布置好房间啦~,,
30501,visitor,wolf_开心,2,3,2,Line,嗯，这样才稍微像样，你的服务我很满意。,,
30501,narration,,2,3,3,Line,完成服务需求奖励【货币+300，声望+10】,,
30501,,,2,3,4,Action,CompleteNeed(perfect),,
,,,,,,,,,
,,,,,,,,,
